"","subject","country","rel_1","rel_2","rel_3","rel_4","rel_5","rel_6","rel_7","rel_8","rel_9","cnorm_1","cnorm_2","wb_gen_1","wb_gen_2","wb_phys_1","wb_phys_2","wb_phys_3","wb_phys_4","wb_phys_5","wb_phys_6","wb_phys_7","wb_psych_1","wb_psych_2","wb_psych_3","wb_psych_4","wb_psych_5","wb_psych_6","wb_soc_1","wb_soc_2","wb_soc_3","wb_overall_mean","wb_phys_mean","wb_psych_mean","wb_soc_mean","age","gender","ses","education","ethnicity","denomination","gdp","gdp_scaled","sample_type","compensation","attention_check","religiosity","cnorm"
"48",50,"Australia",0,0.142857142857143,0,0,0.166666666666667,0.5,0.833333333333333,0,0,0,0,4,4,3,3,2,4,2,3,4,3,3,3,2,3,4,3,4,3,3.16666666666667,3,3,3.33333333333333,5.23714987714988,1,-0.621345279054186,0.285198616893439,"Caucasian/European",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-0.865228553950233,-1.57295064117864
"49",51,"Australia",1,1,1,1,0.833333333333333,1,1,0.75,1,0.75,1,5,5,4,5,5,5,5,4,5,5,4,5,5,5,3,5,4,5,4.66666666666667,4.71428571428571,4.5,4.66666666666667,10.2371498771499,0,1.64051357369643,1.87274974942339,"Caucasian/European","Muslim",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,1.86749289962299,1.75396979709271
"50",52,"Australia",0.5,0.571428571428571,1,1,0.666666666666667,0.333333333333333,0.666666666666667,0.25,0.5,0,0.25,4,3,3,4,2,4,2,4,3,4,4,3,4,4,3,4,3,4,3.44444444444444,3.14285714285714,3.66666666666667,3.66666666666667,-5.76285012285012,1,-0.0558805658665328,0.285198616893439,"Caucasian/European","Christian (Orthodox - Russian/Greek/etc.)",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,0.560294183686932,-1.09767629285416
"51",53,"Australia",1,1,1,1,1,1,0.5,0.75,0.75,0.5,0.75,4,4,3,4,3,4,5,4,5,4,4,5,5,5,4,4,5,5,4.27777777777778,4,4.5,4.66666666666667,11.2371498771499,1,0.509584147321121,1.87274974942339,"Caucasian/European","Christian (Roman Catholic)",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,1.82805155905595,0.803421100443752
"52",54,"Australia",0,0.142857142857143,0.5,0,0.666666666666667,0.5,0.5,0,0,0.75,0.75,3,2,3,2,1,3,1,3,4,2,2,1,1,2,1,1,2,1,1.94444444444444,2.42857142857143,1.5,1.33333333333333,-12.7628501228501,1,-2.8832041318048,-0.508576949371538,"Caucasian/European",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-0.391932467145799,1.27869544876823
"53",55,"Australia",0,1,1,0,0.833333333333333,0.5,0.5,0.25,0.25,0.25,0.25,2,1,1,2,3,2,4,3,1,2,1,3,1,1,1,2,1,2,1.83333333333333,2.28571428571429,1.5,1.66666666666667,27.2371498771499,1,-0.621345279054186,1.87274974942339,"Caucasian/European",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,0.565928660910794,-0.622401944529682
"54",56,"Australia",0.833333333333333,1,1,1,0.666666666666667,1,1,1,1,1,1,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.55555555555556,3.85714285714286,5,5,1.23714987714988,0,2.20597828688408,0.285198616893439,"Indigenous","Christian (Roman Catholic)",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,1.82805155905595,2.22924414541719
"55",57,"Australia",1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4.05555555555556,4,4,4.33333333333333,6.23714987714988,0,0.509584147321121,0.285198616893439,"Caucasian/European","Christian (Roman Catholic)",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,2.06469960245817,2.22924414541719
"56",58,"Australia",0.166666666666667,0.714285714285714,0.5,1,0.666666666666667,0.666666666666667,0.5,0.25,0.75,0.25,0.75,4,4,4,5,4,4,3,4,4,5,4,3,4,4,3,4,4,5,4,4,3.83333333333333,4.33333333333333,-10.7628501228501,1,0.509584147321121,0.285198616893439,"East Asian","Christian (Roman Catholic)",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,0.509583888672171,0.328146752119274
"57",59,"Australia",0.833333333333333,0.714285714285714,1,1,1,1,1,0.75,1,0.5,1,4,5,1,4,4,5,5,5,5,4,4,3,4,5,4,5,4,3,4.11111111111111,4.14285714285714,4,4,-8.76285012285012,0,0.509584147321121,0.285198616893439,"East Asian","Christian (Protestant)",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,1.73226544625029,1.27869544876823
